"Trial Name","Boss Name","ESO Logs Player Link","Player Handle","Character Name","Build Slug","Role","Subclass 1","Subclass 2","Subclass 3","Signature Set 1","Signature Set 2","DPS","HPS","CPM","Primary Metric","Mundus Stone","Gear: Head","Gear: Chest","Gear: Shoulders","Gear: Hands","Gear: Waist","Gear: Legs","Gear: Feet","Gear: Necklace","Gear: Ring1","Gear: Ring2","Gear: Main_Hand","Gear: Off_Hand","Gear: Backup_Main_Hand","Gear: Backup_Off_Hand","Bar 1 Ability 1","Bar 1 Ability 2","Bar 1 Ability 3","Bar 1 Ability 4","Bar 1 Ability 5","Bar 1 Ability 6","Bar 2 Ability 1","Bar 2 Ability 2","Bar 2 Ability 3","Bar 2 Ability 4","Bar 2 Ability 5","Bar 2 Ability 6"
"Asylum Sanctorium","Saint Olms the Just","https://www.esologs.com/reports/YGyWMz8p7hBVjq3J#fight=9&type=summary&source=4","@Aruu","Arüucanist","ass-dawn-herald-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ass","Dawn","Herald","Perfected Slivers of the Null Arca","Deadly Strike","151601.3","10099.8","29.2","151601.3 DPS","","Perfected Null Arca Helmet (Perfected Slivers of the Null Arca)","Deadly Jack (Deadly Strike)","Slimecraw Arm Cops (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Radiant Oppression","Exhausting Fatecarver","Camouflaged Hunter","Cephaliarch's Flail","Relentless Focus","Incapacitating Strike","Stampede","Inspired Scholarship","Solar Barrage","Fulminating Rune","Blood Frenzy","The Languid Eye"
"Asylum Sanctorium","Saint Olms the Just","https://www.esologs.com/reports/YGyWMz8p7hBVjq3J#fight=9&type=summary&source=104","@Aruu","Arüucanist","ass-dawn-herald-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ass","Dawn","Herald","Perfected Slivers of the Null Arca","Deadly Strike","169642.6","4320.9","40.1","169642.6 DPS","","Perfected Null Arca Helmet (Perfected Slivers of the Null Arca)","Deadly Jack (Deadly Strike)","Slimecraw Arm Cops (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Radiant Oppression","Pragmatic Fatecarver","Camouflaged Hunter","Cephaliarch's Flail","Quick Cloak","Incapacitating Strike","Stampede","Inspired Scholarship","Solar Barrage","Fulminating Rune","Shadow Silk","The Languid Eye"
"Asylum Sanctorium","Saint Olms the Just","https://www.esologs.com/reports/YGyWMz8p7hBVjq3J#fight=9&type=summary&source=77","@damage_1","Super Saiyajin Green God","ass-dawn-herald-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ass","Dawn","Herald","Perfected Slivers of the Null Arca","Deadly Strike","156894.2","4670.8","24.5","156894.2 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Pragmatic Fatecarver","Quick Cloak","Radiant Oppression","Banner Bearer","Incapacitating Strike","Stampede","Solar Barrage","Inspired Scholarship","Merciless Resolve","Banner Bearer","The Languid Eye"
"Asylum Sanctorium","Saint Olms the Just","https://www.esologs.com/reports/YGyWMz8p7hBVjq3J#fight=9&type=summary&source=10","@Aruu67","Chris Rockanist","ass-dawn-herald-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ass","Dawn","Herald","Perfected Slivers of the Null Arca","Deadly Strike","162831.3","3659.4","39.9","162831.3 DPS","","Slimecraw Guise (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Deadly Arm Cops (Deadly Strike)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Banner Bearer","Pragmatic Fatecarver","Radiant Oppression","Cephaliarch's Flail","Camouflaged Hunter","Incapacitating Strike","Stampede","Inspired Scholarship","Solar Barrage","Fulminating Rune","Banner Bearer","The Languid Eye"
"Asylum Sanctorium","Saint Olms the Just","https://www.esologs.com/reports/YGyWMz8p7hBVjq3J#fight=9&type=summary&source=8","@damage_1","Super Saiyajin Green God","ass-dawn-herald-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ass","Dawn","Herald","Perfected Slivers of the Null Arca","Deadly Strike","162675.9","5588.3","25.2","162675.9 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Pragmatic Fatecarver","Camouflaged Hunter","Radiant Oppression","Banner Bearer","Incapacitating Strike","Stampede","Solar Barrage","Inspired Scholarship","Concealed Weapon","Banner Bearer","The Languid Eye"
"Asylum Sanctorium","Saint Olms the Just","https://www.esologs.com/reports/YGyWMz8p7hBVjq3J#fight=9&type=summary&source=10","@Aruu","Arüucanist","ass-dawn-herald-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ass","Dawn","Herald","Perfected Slivers of the Null Arca","Deadly Strike","174649.0","4470.8","34.6","174649.0 DPS","","Perfected Null Arca Helmet (Perfected Slivers of the Null Arca)","Deadly Jack (Deadly Strike)","Slimecraw Arm Cops (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Radiant Oppression","Pragmatic Fatecarver","Camouflaged Hunter","Cephaliarch's Flail","Quick Cloak","Incapacitating Strike","Stampede","Inspired Scholarship","Solar Barrage","Fulminating Rune","Vampire's Bane","The Languid Eye"
"Asylum Sanctorium","Saint Olms the Just","https://www.esologs.com/reports/YGyWMz8p7hBVjq3J#fight=9&type=summary&source=3","@Aruu","Arüu","ass-dawn-herald-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ass","Dawn","Herald","Deadly Strike","Perfected Slivers of the Null Arca","126382.7","3663.5","32.6","126382.7 DPS","","Deadly Helmet (Deadly Strike)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Slimecraw Arm Cops (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Radiant Oppression","Pragmatic Fatecarver","Camouflaged Hunter","Cephaliarch's Flail","Quick Cloak","Incapacitating Strike","Stampede","Inspired Scholarship","Solar Barrage","Fulminating Rune","Vampire's Bane","The Languid Eye"
"Asylum Sanctorium","Saint Olms the Just","https://www.esologs.com/reports/YGyWMz8p7hBVjq3J#fight=9&type=summary&source=10","@IgnDarius","Darius Skr","ass-dawn-herald-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ass","Dawn","Herald","Perfected Slivers of the Null Arca","Deadly Strike","123791.0","8226.6","40.3","123791.0 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Deadly Arm Cops (Deadly Strike)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Camouflaged Hunter","Quick Cloak","Cephaliarch's Flail","Pragmatic Fatecarver","Radiant Glory","Incapacitating Strike","Scalding Rune","Stampede","Fulminating Rune","Solar Barrage","Inspired Scholarship","The Languid Eye"
"Asylum Sanctorium","Saint Olms the Just","https://www.esologs.com/reports/YGyWMz8p7hBVjq3J#fight=9&type=summary&source=6","@currymaster123","urthipuj","ass-dawn-herald-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ass","Dawn","Herald","Perfected Slivers of the Null Arca","Deadly Strike","99113.8","5998.8","40.3","99113.8 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Deadly Boots (Deadly Strike)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Radiant Glory","Banner Bearer","Pragmatic Fatecarver","Quick Cloak","Soul Harvest","Solar Barrage","Banner Bearer","Inspired Scholarship","Relentless Focus","Stampede","The Languid Eye"
"Asylum Sanctorium","Saint Olms the Just","https://www.esologs.com/reports/YGyWMz8p7hBVjq3J#fight=9&type=summary&source=13","@Nahlot_Sunvaar","Jetfuel can't melt beams","ass-dawn-herald-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ass","Dawn","Herald","Perfected Slivers of the Null Arca","Deadly Strike","104932.4","8642.8","32.0","104932.4 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Deadly Arm Cops (Deadly Strike)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Bow (Perfected Thunderous Volley)"," ()","Camouflaged Hunter","Radiant Oppression","Pragmatic Fatecarver","Cephaliarch's Flail","Quick Cloak","Incapacitating Strike","Solar Barrage","Fulminating Rune","Stampede","Inspired Scholarship","Camouflaged Hunter","The Languid Eye"
