"Trial Name","Boss Name","ESO Logs Player Link","Player Handle","Character Name","Build Slug","Role","Subclass 1","Subclass 2","Subclass 3","Signature Set 1","Signature Set 2","DPS","HPS","CPM","Primary Metric","Mundus Stone","Gear: Head","Gear: Chest","Gear: Shoulders","Gear: Hands","Gear: Waist","Gear: Legs","Gear: Feet","Gear: Necklace","Gear: Ring1","Gear: Ring2","Gear: Main_Hand","Gear: Off_Hand","Gear: Backup_Main_Hand","Gear: Backup_Off_Hand","Bar 1 Ability 1","Bar 1 Ability 2","Bar 1 Ability 3","Bar 1 Ability 4","Bar 1 Ability 5","Bar 1 Ability 6","Bar 2 Ability 1","Bar 2 Ability 2","Bar 2 Ability 3","Bar 2 Ability 4","Bar 2 Ability 5","Bar 2 Ability 6"
"Cloudrest","Shade of Siroria","https://www.esologs.com/reports/jdfCwP27cGRQXvY4#fight=5&type=summary&source=127","@Nikbeezy","Arc Daddy","ardent-herald-spear-deadly-strike-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Deadly Strike","Slivers of the Null Arca","81770.8","5364.8","36.0","81770.8 DPS","The Thief","Slimecraw Guise (Slimecraw)","Deadly Jack (Deadly Strike)","Null Arca Arm Cops (Slivers of the Null Arca)","Deadly Bracers (Deadly Strike)","","Deadly Guards (Deadly Strike)","Deadly Boots (Deadly Strike)","","Null Arca Ring (Slivers of the Null Arca)","Null Arca Ring (Slivers of the Null Arca)","Null Arca Dagger (Slivers of the Null Arca)","Null Arca Dagger (Slivers of the Null Arca)","The Maelstrom's Inferno Staff (Crushing Wall)"," ()","Quick Cloak","Camouflaged Hunter","Pragmatic Fatecarver","Cephaliarch's Flail","Resolving Vigor","Everlasting Sweep","Molten Whip","Elemental Blockade","Inspired Scholarship","Venomous Claw","Flames of Oblivion","Standard of Might"
"Cloudrest","Shade of Siroria","https://www.esologs.com/reports/jdfCwP27cGRQXvY4#fight=5&type=summary&source=1","@Arma45","Kitty'Cane","ass-dawn-herald-deadly-strike-perfected-ansuuls-torment","dps","Ass","Dawn","Herald","Perfected Ansuul's Torment","Deadly Strike","61595.0","9472.5","23.8","61595.0 DPS","The Thief","Valkyn Skoria Guise (Valkyn Skoria)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Deadly Arm Cops (Deadly Strike)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Pragmatic Fatecarver","Cephaliarch's Flail","Quick Cloak","Radiant Glory","Camouflaged Hunter","The Languid Eye","Blockade of Fire","Relentless Focus","Resolving Vigor","Camouflaged Hunter","Inspired Scholarship","The Languid Eye"
"Cloudrest","Shade of Siroria","https://www.esologs.com/reports/jdfCwP27cGRQXvY4#fight=5&type=summary&source=128","@hamiltonmaths","Citizen Ar-Kane-Ist","ardent-dawn-herald-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Dawn","Herald","Perfected Slivers of the Null Arca","Deadly Strike","59563.5","9176.8","19.8","59563.5 DPS","The Thief","Perfected Null Arca Helmet (Perfected Slivers of the Null Arca)","Deadly Jack (Deadly Strike)","Slimecraw Epaulets (Slimecraw)","Deadly Bracers (Deadly Strike)","","Deadly Guards (Deadly Strike)","Deadly Boots (Deadly Strike)","","Perfected Null Arca Ring (Perfected Slivers of the Null Arca)","Perfected Null Arca Ring (Perfected Slivers of the Null Arca)","Perfected Null Arca Dagger (Perfected Slivers of the Null Arca)","Perfected Null Arca Dagger (Perfected Slivers of the Null Arca)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Cephaliarch's Flail","Echoing Vigor","Pragmatic Fatecarver","Camouflaged Hunter","Radiant Glory","The Languid Eye","Flames of Oblivion","Elemental Blockade","Inspired Scholarship","Molten Whip","Solar Barrage","Standard of Might"
"Cloudrest","Shade of Siroria","https://www.esologs.com/reports/jdfCwP27cGRQXvY4#fight=5&type=summary&source=134","@NJtheMinion","Sings-on-Sky","ardent-herald-x-highland-sentinel-perfected-slivers-of-the-null-arca","dps","Ardent","Herald","x","Perfected Slivers of the Null Arca","Highland Sentinel","61100.3","12465.8","48.1","61100.3 DPS","The Thief","Valkyn Skoria Guise (Valkyn Skoria)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Valkyn Skoria Arm Cops (Valkyn Skoria)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Highland Sentinel Ring (Highland Sentinel)","Highland Sentinel Ring (Highland Sentinel)","Highland Sentinel Lightning Staff (Highland Sentinel)"," ()","The Maelstrom's Perfected Lightning Staff (Perfected Crushing Wall)"," ()","Venomous Claw","Cephaliarch's Flail","Pragmatic Fatecarver","Camouflaged Hunter","Banner Bearer","The Languid Eye","Flames of Oblivion","Inspired Scholarship","Elemental Blockade","Molten Whip","Banner Bearer","Standard of Might"
"Cloudrest","Shade of Siroria","https://www.esologs.com/reports/jdfCwP27cGRQXvY4#fight=5&type=summary&source=130","@Clutter_Monk","Mahlers Tenth","ardent-dawn-herald-deadly-strike-perfected-ansuuls-torment","dps","Ardent","Dawn","Herald","Perfected Ansuul's Torment","Deadly Strike","85185.7","6112.0","30.4","85185.7 DPS","The Thief","Ansuul's Perfected Helmet (Perfected Ansuul's Torment)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Slimecraw Epaulets (Slimecraw)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Deadly Boots (Deadly Strike)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Quick Cloak","Resolving Vigor","Cephaliarch's Flail","Pragmatic Fatecarver","Radiant Glory","The Languid Eye","Stampede","Inspired Scholarship","Venomous Claw","Solar Barrage","Flames of Oblivion","Standard of Might"
"Cloudrest","Shade of Siroria","https://www.esologs.com/reports/jdfCwP27cGRQXvY4#fight=5&type=summary&source=131","@Retrobutionn10","Mercedeez Beams","ardent-herald-spear-perfected-slivers-of-the-null-arca-tide-born-wildstalker","dps","Ardent","Spear","Herald","Tide-Born Wildstalker","Perfected Slivers of the Null Arca","79827.2","3903.1","41.6","79827.2 DPS","The Thief","Slimecraw Mask (Slimecraw)","Tide-Born Jack (Tide-Born Wildstalker)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Quick Cloak","Venomous Claw","Camouflaged Hunter","Cephaliarch's Flail","Pragmatic Fatecarver","Crescent Sweep","Inspired Scholarship","Molten Whip","Fulminating Rune","Flames of Oblivion","Stampede","Standard of Might"
"Cloudrest","Shade of Siroria","https://www.esologs.com/reports/jdfCwP27cGRQXvY4#fight=5&type=summary&source=126","@MiseenPlace","Alciune","green-resto-siphon-jorvulds-guidance-perfected-roaring-opportunist","healer","Siphon","Resto","Green","Jorvuld's Guidance","Perfected Roaring Opportunist","8681.2","72642.6","30.4","72642.6 HPS","","Symphony of Blades Guise (Symphony of Blades)","Jorvuld's Guidance Jerkin (Jorvuld's Guidance)","Symphony of Blades Epaulets (Symphony of Blades)","Jorvuld's Guidance Gloves (Jorvuld's Guidance)","","Jorvuld's Guidance Breeches (Jorvuld's Guidance)","Jorvuld's Guidance Shoes (Jorvuld's Guidance)","","Roaring Opportunist's Perfected Ring (Perfected Roaring Opportunist)","Roaring Opportunist's Perfected Ring (Perfected Roaring Opportunist)","The Master's Perfected Restoration Staff (Perfected Grand Rejuvenation)"," ()","Roaring Opportunist's Perfected Lightning Staff (Perfected Roaring Opportunist)"," ()","Combat Prayer","Healing Springs","Radiating Regeneration","Energy Orb","Extended Ritual","Replenishing Barrier","Budding Seeds","Overflowing Altar","Echoing Vigor","Inner Light","Siphoning Attacks","Replenishing Barrier"
"Cloudrest","Shade of Siroria","https://www.esologs.com/reports/jdfCwP27cGRQXvY4#fight=5&type=summary&source=129","@Aashiana","Drifts-in-Moonlight","animal-curative-green-powerful-assault-spell-power-cure","healer","Animal","Green","Curative","Spell Power Cure","Powerful Assault","1925.3","51459.8","53.2","51459.8 HPS","","The Blind Guise (The Blind)","Spell Power Cure Robe (Spell Power Cure)","The Blind Epaulets (The Blind)","Spell Power Cure Gloves (Spell Power Cure)","","Spell Power Cure Breeches (Spell Power Cure)","Spell Power Cure Shoes (Spell Power Cure)","","Ring of the Powerful Assault (Powerful Assault)","Ring of the Powerful Assault (Powerful Assault)","The Master's Perfected Restoration Staff (Perfected Grand Rejuvenation)"," ()","Ice Staff of the Powerful Assault (Powerful Assault)"," ()","Combat Prayer","Chakram of Destiny","Budding Seeds","Illustrious Healing","Radiating Regeneration","Enchanted Forest","Elemental Blockade","Evolving Runemend","Echoing Vigor","Blue Betty","Deceptive Predator","Reviving Barrier"
"Cloudrest","Shade of Siroria","https://www.esologs.com/reports/jdfCwP27cGRQXvY4#fight=5&type=summary&source=132","@ScarGard12","Necro Tank Buddy","bone-daedric-winter-perfected-saxhleel-champion-turning-tide","tank","Daedric","Winter","Bone","Turning Tide","Perfected Saxhleel Champion","4117.9","4071.7","38.5","38.5 CPM","","Nazaray Visage (Nazaray)","Cuirass of the Turning Tide (Turning Tide)","Nazaray Pauldron (Nazaray)","Gauntlets of the Turning Tide (Turning Tide)","","Greaves of the Turning Tide (Turning Tide)","Sabatons of the Turning Tide (Turning Tide)","","Saxhleel Champion's Perfected Ring (Perfected Saxhleel Champion)","Saxhleel Champion's Perfected Ring (Perfected Saxhleel Champion)","Druid's Sword (Druid's Braid)","Shield of the Trainee (Armor of the Trainee)","Saxhleel Champion's Perfected Ice Staff (Perfected Saxhleel Champion)"," ()","Goading Throw","Hungry Scythe","Revealing Flare","Race Against Time","Leashing Soul","Sleet Storm","Elemental Susceptibility","Elemental Blockade","Necrotic Potency","Expansive Frost Cloak","Bound Aegis","Summon Charged Atronach"
"Cloudrest","Shade of Siroria","https://www.esologs.com/reports/jdfCwP27cGRQXvY4#fight=5&type=summary&source=133","@Red7Velvet","Rédvelvet","bone-grave-living-perfected-lucent-echoes-perfected-pearlescent-ward","tank","Grave","Bone","Living","Perfected Pearlescent Ward","Perfected Lucent Echoes","3148.1","7764.5","52.2","52.2 CPM","","Magma Incarnate Mask (Magma Incarnate)","Perfected Pearlescent Cuirass (Perfected Pearlescent Ward)","Spaulder of Ruin (Spaulder of Ruin)","Perfected Pearlescent Gauntlets (Perfected Pearlescent Ward)","","Perfected Pearlescent Greaves (Perfected Pearlescent Ward)","Perfected Pearlescent Sabatons (Perfected Pearlescent Ward)","","Lucent Echoes Perfected Ring (Perfected Lucent Echoes)","Lucent Echoes Perfected Ring (Perfected Lucent Echoes)","The Master's Perfected Dagger (Perfected Puncturing Remedy)","The Master's Perfected Shield (Perfected Puncturing Remedy)","Lucent Echoes Perfected Ice Staff (Perfected Lucent Echoes)"," ()","Pierce Armor","Necrotic Potency","Hungry Scythe","Beckoning Armor","Revealing Flare","Temporal Guard","Destructive Clench","Elemental Susceptibility","Ulfsild's Contingency","Echoing Vigor","Spirit Guardian","Glacial Colossus"
