"Trial Name","Boss Name","ESO Logs Player Link","Player Handle","Character Name","Build Slug","Role","Subclass 1","Subclass 2","Subclass 3","Signature Set 1","Signature Set 2","DPS","HPS","CPM","Primary Metric","Mundus Stone","Gear: Head","Gear: Chest","Gear: Shoulders","Gear: Hands","Gear: Waist","Gear: Legs","Gear: Feet","Gear: Necklace","Gear: Ring1","Gear: Ring2","Gear: Main_Hand","Gear: Off_Hand","Gear: Backup_Main_Hand","Gear: Backup_Off_Hand","Bar 1 Ability 1","Bar 1 Ability 2","Bar 1 Ability 3","Bar 1 Ability 4","Bar 1 Ability 5","Bar 1 Ability 6","Bar 2 Ability 1","Bar 2 Ability 2","Bar 2 Ability 3","Bar 2 Ability 4","Bar 2 Ability 5","Bar 2 Ability 6"
"Dreadsail Reef","Lylanar and Turlassil","https://www.esologs.com/reports/Wwjv8hA3VKFG6r9n#fight=23&type=summary&source=3","@Em.pire","Dagöth Úr","ardent-ass-herald-aegis-caller-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Aegis Caller","176940.9","8353.7","66.7","176940.9 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Aegis Caller's Bracers (Aegis Caller)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Killer's Blade","Escalating Runeblades","Inspired Scholarship","Tentacular Dread","Relentless Focus","Soul Harvest","Venomous Claw","Stampede","Flames of Oblivion","Molten Whip","Sundering Trample","Standard of Might"
"Dreadsail Reef","Lylanar and Turlassil","https://www.esologs.com/reports/Wwjv8hA3VKFG6r9n#fight=23&type=summary&source=7","@maybe_brandon","Malicious Intentacles","ardent-ass-herald-aegis-caller-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Aegis Caller","172245.8","6711.3","75.7","172245.8 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Aegis Caller's Bracers (Aegis Caller)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Aegis Caller's Boots (Aegis Caller)","","Perfected Null Arca Ring (Perfected Slivers of the Null Arca)","Perfected Null Arca Ring (Perfected Slivers of the Null Arca)","Aegis Caller's Dagger (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Escalating Runeblades","Tentacular Dread","Relentless Focus","Killer's Blade","Quick Cloak","Soul Harvest","Stampede","Magical Trample","Flames of Oblivion","Inspired Scholarship","Molten Whip","Standard of Might"
"Dreadsail Reef","Lylanar and Turlassil","https://www.esologs.com/reports/Wwjv8hA3VKFG6r9n#fight=23&type=summary&source=6","@f.rags","Game Hard Me Bad","ardent-ass-herald-aegis-caller-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Aegis Caller","169252.4","12336.3","76.1","169252.4 DPS","","Slimecraw Guise (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Aegis Caller's Boots (Aegis Caller)","","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","The Maelstrom's Greatsword (Merciless Charge)"," ()","Escalating Runeblades","Camouflaged Hunter","Killer's Blade","Relentless Focus","Tentacular Dread","Incapacitating Strike","Inspired Scholarship","Sundering Trample","Molten Whip","Flames of Oblivion","Stampede","Standard of Might"
"Dreadsail Reef","Lylanar and Turlassil","https://www.esologs.com/reports/Wwjv8hA3VKFG6r9n#fight=23&type=summary&source=4","@God'sGifttoGaming","Dreaming and Beaming","ardent-ass-herald-aegis-caller-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Aegis Caller","178645.9","9556.1","76.1","178645.9 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Aegis Caller's Arm Cops (Aegis Caller)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Camouflaged Hunter","Tentacular Dread","Escalating Runeblades","Killer's Blade","Relentless Focus","Incapacitating Strike","Molten Whip","Stampede","Sundering Trample","Inspired Scholarship","Flames of Oblivion","Standard of Might"
"Dreadsail Reef","Lylanar and Turlassil","https://www.esologs.com/reports/Wwjv8hA3VKFG6r9n#fight=23&type=summary&source=12","@I.Bad","Stuck in Prebuff","ardent-ass-herald-aegis-caller-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Aegis Caller","165552.8","6952.1","67.7","165552.8 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Banner Bearer","Relentless Focus","Tentacular Dread","Escalating Runeblades","Killer's Blade","Incapacitating Strike","Banner Bearer","Sundering Trample","Stampede","Flames of Oblivion","Inspired Scholarship","Standard of Might"
"Dreadsail Reef","Lylanar and Turlassil","https://www.esologs.com/reports/Wwjv8hA3VKFG6r9n#fight=23&type=summary&source=8","@Brassmoose","Naomi Archag am Arc'gah","ardent-ass-herald-aegis-caller-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Aegis Caller","179622.2","9798.4","78.0","179622.2 DPS","","Perfected Null Arca Helmet (Perfected Slivers of the Null Arca)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Zaan Arm Cops (Zaan)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Tentacular Dread","Escalating Runeblades","Relentless Focus","Killer's Blade","Camouflaged Hunter","Incapacitating Strike","Stampede","Molten Whip","Flames of Oblivion","Inspired Scholarship","Sundering Trample","Standard of Might"
"Dreadsail Reef","Lylanar and Turlassil","https://www.esologs.com/reports/Wwjv8hA3VKFG6r9n#fight=23&type=summary&source=1","@Tos.t","Tostić","ardent-ass-herald-aegis-caller-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Aegis Caller","136013.3","8620.7","62.3","136013.3 DPS","","Slimecraw Guise (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Aegis Caller's Guards (Aegis Caller)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Killer's Blade","Tentacular Dread","Escalating Runeblades","Relentless Focus","Camouflaged Hunter","Soul Harvest","Stampede","Inspired Scholarship","Flames of Oblivion","Fulminating Rune","Sundering Trample","Standard of Might"
"Dreadsail Reef","Lylanar and Turlassil","https://www.esologs.com/reports/Wwjv8hA3VKFG6r9n#fight=23&type=summary&source=10","@YellowPain60","Pipoquinha","ardent-ass-herald-aegis-caller-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Aegis Caller","153608.6","7513.4","65.4","153608.6 DPS","","Perfected Null Arca Helmet (Perfected Slivers of the Null Arca)","Aegis Caller's Jack (Aegis Caller)","Slimecraw Arm Cops (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Escalating Runeblades","Tentacular Dread","Killer's Blade","Relentless Focus","Camouflaged Hunter","Incapacitating Strike","Flames of Oblivion","Stampede","Molten Whip","Inspired Scholarship","Sundering Trample","Standard of Might"
"Dreadsail Reef","Lylanar and Turlassil","https://www.esologs.com/reports/Wwjv8hA3VKFG6r9n#fight=23&type=summary&source=9","@Secilina","Secilina","ardent-ass-herald-aegis-caller-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Aegis Caller","Perfected Slivers of the Null Arca","178825.2","9528.9","75.1","178825.2 DPS","","Slimecraw Guise (Slimecraw)","Aegis Caller's Jack (Aegis Caller)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Aegis Caller's Bracers (Aegis Caller)","","Aegis Caller's Guards (Aegis Caller)","Aegis Caller's Boots (Aegis Caller)","","Perfected Null Arca Ring (Perfected Slivers of the Null Arca)","Perfected Null Arca Ring (Perfected Slivers of the Null Arca)","Perfected Null Arca Dagger (Perfected Slivers of the Null Arca)","Perfected Null Arca Dagger (Perfected Slivers of the Null Arca)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Killer's Blade","Tentacular Dread","Escalating Runeblades","Camouflaged Hunter","Relentless Focus","Incapacitating Strike","Flames of Oblivion","Sundering Trample","Stampede","Inspired Scholarship","Venomous Claw","Standard of Might"
"Dreadsail Reef","Lylanar and Turlassil","https://www.esologs.com/reports/Wwjv8hA3VKFG6r9n#fight=23&type=summary&source=6","@ruciake","Runmei","ardent-ass-herald-aegis-caller-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Aegis Caller","149878.4","9772.7","60.5","149878.4 DPS","","Slimecraw Guise (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Aegis Caller's Arm Cops (Aegis Caller)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Tentacular Dread","Escalating Runeblades","Relentless Focus","Killer's Blade","Camouflaged Hunter","Incapacitating Strike","Flames of Oblivion","Stampede","Inspired Scholarship","Venomous Claw","Sundering Trample","Standard of Might"
