"Trial Name","Boss Name","ESO Logs Player Link","Player Handle","Character Name","Build Slug","Role","Subclass 1","Subclass 2","Subclass 3","Signature Set 1","Signature Set 2","DPS","HPS","CPM","Primary Metric","Mundus Stone","Gear: Head","Gear: Chest","Gear: Shoulders","Gear: Hands","Gear: Waist","Gear: Legs","Gear: Feet","Gear: Necklace","Gear: Ring1","Gear: Ring2","Gear: Main_Hand","Gear: Off_Hand","Gear: Backup_Main_Hand","Gear: Backup_Off_Hand","Bar 1 Ability 1","Bar 1 Ability 2","Bar 1 Ability 3","Bar 1 Ability 4","Bar 1 Ability 5","Bar 1 Ability 6","Bar 2 Ability 1","Bar 2 Ability 2","Bar 2 Ability 3","Bar 2 Ability 4","Bar 2 Ability 5","Bar 2 Ability 6"
"Kyne's Aegis","Captain Vrol","https://www.esologs.com/reports/f9XwPTmn2apGc3ZR#fight=84&type=summary&source=5","@SuperMexHero","One Skill","ardent-ass-herald-berserking-warrior-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Berserking Warrior","261095.7","13796.8","106.0","261095.7 DPS",""," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Zaan Epaulets (Zaan)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Ring of the Advancing Yokeda (Berserking Warrior)","Ring of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Tentacular Dread","Killer's Blade","Relentless Focus","Escalating Runeblades","Barbed Trap","Incapacitating Strike","Venomous Claw","Fulminating Rune","Inspired Scholarship","Flames of Oblivion","Stampede","Standard of Might"
"Kyne's Aegis","Captain Vrol","https://www.esologs.com/reports/f9XwPTmn2apGc3ZR#fight=84&type=summary&source=6","@ickypiggy","Anahità","ardent-ass-herald-berserking-warrior-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Berserking Warrior","245735.2","14514.3","93.4","245735.2 DPS",""," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Slimecraw Epaulets (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Ring of the Advancing Yokeda (Berserking Warrior)","Ring of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Escalating Runeblades","Tentacular Dread","Killer's Blade","Relentless Focus","Barbed Trap","Incapacitating Strike","Stampede","Molten Whip","Venomous Claw","Flames of Oblivion","Inspired Scholarship","Standard of Might"
"Kyne's Aegis","Captain Vrol","https://www.esologs.com/reports/f9XwPTmn2apGc3ZR#fight=84&type=summary&source=9","@f.rags","Game Hard Me Bad","ardent-ass-herald-berserking-warrior-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Berserking Warrior","280124.1","16522.8","91.8","280124.1 DPS","The Thief"," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Zaan Arm Cops (Zaan)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Ring of the Advancing Yokeda (Berserking Warrior)","Ring of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","The Maelstrom's Greatsword (Merciless Charge)"," ()","Escalating Runeblades","Barbed Trap","Killer's Blade","Relentless Focus","Tentacular Dread","Incapacitating Strike","Inspired Scholarship","Molten Whip","Venomous Claw","Flames of Oblivion","Stampede","Standard of Might"
"Kyne's Aegis","Captain Vrol","https://www.esologs.com/reports/f9XwPTmn2apGc3ZR#fight=84&type=summary&source=8","@Wynir","Wynir Beams","ardent-ass-herald-berserking-warrior-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Berserking Warrior","265781.8","13451.2","88.6","265781.8 DPS",""," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Slimecraw Epaulets (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Ring of the Advancing Yokeda (Berserking Warrior)","Ring of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Tentacular Dread","Relentless Focus","Escalating Runeblades","Barbed Trap","Killer's Blade","Incapacitating Strike","Stampede","Venomous Claw","Inspired Scholarship","Flames of Oblivion","Molten Whip","Standard of Might"
"Kyne's Aegis","Captain Vrol","https://www.esologs.com/reports/f9XwPTmn2apGc3ZR#fight=84&type=summary&source=11","@God'sGifttoGaming","Dreaming and Beaming","ardent-ass-herald-berserking-warrior-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Berserking Warrior","260816.9","14405.8","94.9","260816.9 DPS",""," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Slimecraw Epaulets (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Ring of the Advancing Yokeda (Berserking Warrior)","Ring of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Barbed Trap","Tentacular Dread","Escalating Runeblades","Killer's Blade","Relentless Focus","Incapacitating Strike","Venomous Claw","Stampede","Fulminating Rune","Inspired Scholarship","Flames of Oblivion","Standard of Might"
"Kyne's Aegis","Captain Vrol","https://www.esologs.com/reports/f9XwPTmn2apGc3ZR#fight=84&type=summary&source=5","@Gopher07","Dase Trolleri","ardent-ass-herald-berserking-warrior-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Berserking Warrior","251360.3","11522.2","90.1","251360.3 DPS",""," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Slimecraw Epaulets (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Ring of the Advancing Yokeda (Berserking Warrior)","Ring of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Barbed Trap","Tentacular Dread","Escalating Runeblades","Killer's Blade","Relentless Focus","Incapacitating Strike","Inspired Scholarship","Stampede","Flames of Oblivion","Molten Whip","Venomous Claw","Standard of Might"
"Kyne's Aegis","Captain Vrol","https://www.esologs.com/reports/f9XwPTmn2apGc3ZR#fight=84&type=summary&source=3","@A234Ri12","Barrius Teriani","ardent-ass-herald-berserking-warrior-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Berserking Warrior","227112.2","9761.4","87.0","227112.2 DPS",""," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Zaan Epaulets (Zaan)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Ring of the Advancing Yokeda (Berserking Warrior)","Ring of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Barbed Trap","Tentacular Dread","Escalating Runeblades","Relentless Focus","Killer's Blade","Soul Harvest","Stampede","Inspired Scholarship","Flames of Oblivion","Venomous Claw","Molten Whip","Standard of Might"
"Kyne's Aegis","Captain Vrol","https://www.esologs.com/reports/f9XwPTmn2apGc3ZR#fight=84&type=summary&source=7","@ar2r_papian","Here Can Be Your Ads","ardent-ass-herald-berserking-warrior-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Berserking Warrior","262595.1","8845.9","82.4","262595.1 DPS",""," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Zaan Epaulets (Zaan)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Ring of the Advancing Yokeda (Berserking Warrior)","Ring of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Relentless Focus","Tentacular Dread","Escalating Runeblades","Barbed Trap","Killer's Blade","Incapacitating Strike","Stampede","Venomous Claw","Flames of Oblivion","Inspired Scholarship","Molten Whip","Standard of Might"
"Kyne's Aegis","Captain Vrol","https://www.esologs.com/reports/f9XwPTmn2apGc3ZR#fight=84&type=summary&source=5","@sf.grim","Grim Focus","ardent-ass-herald-berserking-warrior-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Berserking Warrior","219911.7","21199.0","93.9","219911.7 DPS",""," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Zaan Epaulets (Zaan)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Ring of the Advancing Yokeda (Berserking Warrior)","Ring of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Escalating Runeblades","Barbed Trap","Tentacular Dread","Killer's Blade","Relentless Focus","Incapacitating Strike","Inspired Scholarship","Flames of Oblivion","Molten Whip","Venomous Claw","Stampede","Standard of Might"
"Kyne's Aegis","Captain Vrol","https://www.esologs.com/reports/f9XwPTmn2apGc3ZR#fight=84&type=summary&source=6","@AmpEBK","Long-Tent Style","ardent-ass-herald-berserking-warrior-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Berserking Warrior","170998.1","15167.4","68.7","170998.1 DPS",""," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Slimecraw Epaulets (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Ring of the Advancing Yokeda (Berserking Warrior)","Ring of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Barbed Trap","Tentacular Dread","Escalating Runeblades","Relentless Focus","Killer's Blade","Incapacitating Strike","Fulminating Rune","Flames of Oblivion","Venomous Claw","Inspired Scholarship","Stampede","Standard of Might"
