"Trial Name","Boss Name","ESO Logs Player Link","Player Handle","Character Name","Build Slug","Role","Subclass 1","Subclass 2","Subclass 3","Signature Set 1","Signature Set 2","DPS","HPS","CPM","Primary Metric","Mundus Stone","Gear: Head","Gear: Chest","Gear: Shoulders","Gear: Hands","Gear: Waist","Gear: Legs","Gear: Feet","Gear: Necklace","Gear: Ring1","Gear: Ring2","Gear: Main_Hand","Gear: Off_Hand","Gear: Backup_Main_Hand","Gear: Backup_Off_Hand","Bar 1 Ability 1","Bar 1 Ability 2","Bar 1 Ability 3","Bar 1 Ability 4","Bar 1 Ability 5","Bar 1 Ability 6","Bar 2 Ability 1","Bar 2 Ability 2","Bar 2 Ability 3","Bar 2 Ability 4","Bar 2 Ability 5","Bar 2 Ability 6"
"Ossein Cage","Red Witch Gedna Relvel","https://www.esologs.com/reports/hQY4vwmGFan3VPXx#fight=30&type=summary&source=4","@Vala7","Captain Leliana","ass-dawn-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ass","Dawn","Herald","Perfected Ansuul's Torment","Mechanical Acuity","177260.0","8818.8","30.8","177260.0 DPS","","Balorgh Mask (Balorgh)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Ansuul's Perfected Arm Cops (Perfected Ansuul's Torment)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Boots of Mechanical Acuity (Mechanical Acuity)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Quick Cloak","Radiant Glory","Camouflaged Hunter","Cephaliarch's Flail","Pragmatic Fatecarver","Soul Harvest","Elemental Blockade","Solar Barrage","Fulminating Rune","Camouflaged Hunter","Inspired Scholarship","The Languid Eye"
"Ossein Cage","Red Witch Gedna Relvel","https://www.esologs.com/reports/hQY4vwmGFan3VPXx#fight=30&type=summary&source=8","@ASSA-Zz","Crispy Crux","ass-dawn-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ass","Dawn","Herald","Perfected Ansuul's Torment","Mechanical Acuity","178008.7","16536.6","34.7","178008.7 DPS","","Balorgh Mask (Balorgh)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Ansuul's Perfected Arm Cops (Perfected Ansuul's Torment)","Bracers of Mechanical Acuity (Mechanical Acuity)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Boots of Mechanical Acuity (Mechanical Acuity)","","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Quick Cloak","Cephaliarch's Flail","Radiant Glory","Pragmatic Fatecarver","Camouflaged Hunter","Soul Harvest","Stampede","Magical Burst","Solar Barrage","Inspired Scholarship","Proximity Detonation","The Languid Eye"
"Ossein Cage","Red Witch Gedna Relvel","https://www.esologs.com/reports/hQY4vwmGFan3VPXx#fight=30&type=summary&source=10","@Solinur","Nerdy Sol","ass-dawn-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ass","Dawn","Herald","Mechanical Acuity","Perfected Ansuul's Torment","197488.6","14664.2","20.1","197488.6 DPS","","Slimecraw Guise (Slimecraw)","Jack of Mechanical Acuity (Mechanical Acuity)","Arm Cops of Mechanical Acuity (Mechanical Acuity)","Bracers of Mechanical Acuity (Mechanical Acuity)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Radiant Glory","Cephaliarch's Flail","Pragmatic Fatecarver","Solar Barrage","Banner Bearer","Soul Harvest","Relentless Focus","Elemental Blockade","Inspired Scholarship","Sundering Burst","Banner Bearer","The Languid Eye"
"Ossein Cage","Red Witch Gedna Relvel","https://www.esologs.com/reports/hQY4vwmGFan3VPXx#fight=30&type=summary&source=11","@WorstNightmare1991","Unfortunately-An-Arcanist","ass-dawn-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ass","Dawn","Herald","Mechanical Acuity","Perfected Ansuul's Torment","205712.6","15386.9","48.2","205712.6 DPS","","Hat of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Molag Kena Arm Cops (Molag Kena)","Gloves of Mechanical Acuity (Mechanical Acuity)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Inspired Scholarship","Cephaliarch's Flail","Pragmatic Fatecarver","Radiant Glory","Banner Bearer","Incapacitating Strike","Magical Burst","Elemental Blockade","Solar Barrage","Relentless Focus","Banner Bearer","The Tide King's Gaze"
"Ossein Cage","Red Witch Gedna Relvel","https://www.esologs.com/reports/hQY4vwmGFan3VPXx#fight=30&type=summary&source=9","@Lerila","Myrrha Yessatra","ass-dawn-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ass","Dawn","Herald","Mechanical Acuity","Perfected Ansuul's Torment","207865.4","14818.0","36.2","207865.4 DPS","","Balorgh Mask (Balorgh)","Jack of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Arm Cops (Perfected Ansuul's Torment)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Boots of Mechanical Acuity (Mechanical Acuity)","","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Radiant Glory","Cephaliarch's Flail","Pragmatic Fatecarver","Inspired Scholarship","Camouflaged Hunter","Soul Harvest","Stampede","Solar Barrage","Anti-Cavalry Caltrops","Magical Burst","Camouflaged Hunter","The Languid Eye"
"Ossein Cage","Red Witch Gedna Relvel","https://www.esologs.com/reports/hQY4vwmGFan3VPXx#fight=30&type=summary&source=3","@Surazel","Buch-Eumelin","ass-dawn-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ass","Dawn","Herald","Mechanical Acuity","Perfected Ansuul's Torment","232110.0","15033.9","36.2","232110.0 DPS","The Thief","Helmet of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Balorgh Arm Cops (Balorgh)","Bracers of Mechanical Acuity (Mechanical Acuity)","","Guards of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Cephaliarch's Flail","Pragmatic Fatecarver","Inspired Scholarship","Radiant Glory","Camouflaged Hunter","Soul Harvest","Elemental Blockade","Solar Barrage","Anti-Cavalry Caltrops","Magical Burst","Camouflaged Hunter","The Languid Eye"
"Ossein Cage","Red Witch Gedna Relvel","https://www.esologs.com/reports/hQY4vwmGFan3VPXx#fight=30&type=summary&source=4","@TheZirkon","Caudícus","ass-dawn-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ass","Dawn","Herald","Mechanical Acuity","Perfected Ansuul's Torment","208550.3","10978.1","36.2","208550.3 DPS","","Velidreth Mask (Velidreth)","Jack of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Arm Cops (Perfected Ansuul's Torment)","Bracers of Mechanical Acuity (Mechanical Acuity)","","Guards of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Inferno Staff (Crushing Wall)"," ()","Radiant Glory","Quick Cloak","Pragmatic Fatecarver","Cephaliarch's Flail","Camouflaged Hunter","Incapacitating Strike","Elemental Blockade","Solar Barrage","Inspired Scholarship","Anti-Cavalry Caltrops","Camouflaged Hunter","Elemental Rage"
"Ossein Cage","Red Witch Gedna Relvel","https://www.esologs.com/reports/hQY4vwmGFan3VPXx#fight=30&type=summary&source=3","@YourBonfire","Japanise Girls Dream","ass-dawn-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ass","Dawn","Herald","Perfected Ansuul's Torment","Mechanical Acuity","194674.8","7932.8","33.6","194674.8 DPS","","Slimecraw Guise (Slimecraw)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Arm Cops of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Cephaliarch's Flail","Quick Cloak","Pragmatic Fatecarver","Radiant Oppression","Camouflaged Hunter","Incapacitating Strike","Inspired Scholarship","Sundering Burst","Elemental Blockade","Solar Barrage","Camouflaged Hunter","Elemental Rage"
"Ossein Cage","Red Witch Gedna Relvel","https://www.esologs.com/reports/hQY4vwmGFan3VPXx#fight=30&type=summary&source=4","@Petr211071","Avg Beam Enjoyer","ass-dawn-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ass","Dawn","Herald","Mechanical Acuity","Perfected Ansuul's Torment","199438.3","7141.7","37.3","199438.3 DPS","","Hat of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Prior Thierric Arm Cops (Prior Thierric)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Guards of Mechanical Acuity (Mechanical Acuity)","Boots of Mechanical Acuity (Mechanical Acuity)","","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Stampede","Inspired Scholarship","Fulminating Rune","Solar Barrage","Sundering Burst","The Languid Eye","Pragmatic Fatecarver","Radiant Oppression","Cephaliarch's Flail","Camouflaged Hunter","Quick Cloak","Incapacitating Strike"
"Ossein Cage","Red Witch Gedna Relvel","https://www.esologs.com/reports/hQY4vwmGFan3VPXx#fight=30&type=summary&source=6","@BjornElle","Geyrahyod","ass-dawn-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ass","Dawn","Herald","Perfected Ansuul's Torment","Mechanical Acuity","194450.9","15829.8","22.4","194450.9 DPS","","Nerien'eth Mask (Nerien'eth)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Ansuul's Perfected Arm Cops (Perfected Ansuul's Torment)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Boots of Mechanical Acuity (Mechanical Acuity)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Greatsword (Merciless Charge)"," ()","Quick Cloak","Radiant Oppression","Cephaliarch's Flail","Pragmatic Fatecarver","Camouflaged Hunter","Incapacitating Strike","Stampede","Solar Barrage","Inspired Scholarship","Sundering Burst","Camouflaged Hunter","The Languid Eye"
