"Trial Name","Boss Name","ESO Logs Player Link","Player Handle","Character Name","Build Slug","Role","Subclass 1","Subclass 2","Subclass 3","Signature Set 1","Signature Set 2","DPS","HPS","CPM","Primary Metric","Mundus Stone","Gear: Head","Gear: Chest","Gear: Shoulders","Gear: Hands","Gear: Waist","Gear: Legs","Gear: Feet","Gear: Necklace","Gear: Ring1","Gear: Ring2","Gear: Main_Hand","Gear: Off_Hand","Gear: Backup_Main_Hand","Gear: Backup_Off_Hand","Bar 1 Ability 1","Bar 1 Ability 2","Bar 1 Ability 3","Bar 1 Ability 4","Bar 1 Ability 5","Bar 1 Ability 6","Bar 2 Ability 1","Bar 2 Ability 2","Bar 2 Ability 3","Bar 2 Ability 4","Bar 2 Ability 5","Bar 2 Ability 6"
"Rockgrove","Basks-In-Snakes","https://www.esologs.com/reports/Bbxn89hWpZQkK7tV#fight=80&type=summary&source=4","@Gopher07","Dase Trolleri","ardent-ass-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ardent","Ass","Herald","Perfected Ansuul's Torment","Mechanical Acuity","339965.6","10692.1","88.6","339965.6 DPS","","Ansuul's Perfected Helmet (Perfected Ansuul's Torment)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Balorgh Arm Cops (Balorgh)","Bracers of Mechanical Acuity (Mechanical Acuity)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Camouflaged Hunter","Tentacular Dread","Escalating Runeblades","Whirling Blades","Relentless Focus","Incapacitating Strike","Inspired Scholarship","Elemental Blockade","Flames of Oblivion","Molten Whip","Magical Burst","Elemental Rage"
"Rockgrove","Basks-In-Snakes","https://www.esologs.com/reports/Bbxn89hWpZQkK7tV#fight=80&type=summary&source=8","@drqAzazel","Qyrsaiel","ardent-ass-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ardent","Ass","Herald","Perfected Ansuul's Torment","Mechanical Acuity","383150.5","2354.9","35.4","383150.5 DPS","","Ansuul's Perfected Helmet (Perfected Ansuul's Torment)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Balorgh Arm Cops (Balorgh)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Quick Cloak","Whirling Blades","Exhausting Fatecarver","Cephaliarch's Flail","Camouflaged Hunter","Incapacitating Strike","Elemental Blockade","Sundering Burst","Inspired Scholarship","Flames of Oblivion","Proximity Detonation","Elemental Rage"
"Rockgrove","Basks-In-Snakes","https://www.esologs.com/reports/Bbxn89hWpZQkK7tV#fight=80&type=summary&source=11","@TimistGOTT","Tim-So","ardent-ass-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ardent","Ass","Herald","Perfected Ansuul's Torment","Mechanical Acuity","302747.0","25180.6","48.7","302747.0 DPS","","Ansuul's Perfected Helmet (Perfected Ansuul's Torment)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Balorgh Arm Cops (Balorgh)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Guards of Mechanical Acuity (Mechanical Acuity)","Boots of Mechanical Acuity (Mechanical Acuity)","","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Killer's Blade","Relentless Focus","Escalating Runeblades","Exhausting Fatecarver","Camouflaged Hunter","Flawless Dawnbreaker","Inspired Scholarship","Magical Burst","Elemental Blockade","Flames of Oblivion","Molten Whip","Elemental Rage"
"Rockgrove","Basks-In-Snakes","https://www.esologs.com/reports/Bbxn89hWpZQkK7tV#fight=80&type=summary&source=6","@Talline","Mor Cruxes than Voldemort","ardent-ass-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ardent","Ass","Herald","Perfected Ansuul's Torment","Mechanical Acuity","255387.4","3419.9","46.7","255387.4 DPS","","Slimecraw Guise (Slimecraw)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Arm Cops of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Escalating Runeblades","Quick Cloak","Pragmatic Fatecarver","Relentless Focus","Whirling Blades","Incapacitating Strike","Stampede","Inspired Scholarship","Sundering Burst","Flames of Oblivion","Proximity Detonation","The Languid Eye"
"Rockgrove","Basks-In-Snakes","https://www.esologs.com/reports/Bbxn89hWpZQkK7tV#fight=80&type=summary&source=4","@Raikiki","Octopus-Prime","ardent-ass-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ardent","Ass","Herald","Perfected Ansuul's Torment","Mechanical Acuity","218380.2","0.0","77.0","218380.2 DPS","","Slimecraw Mask (Slimecraw)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Ansuul's Perfected Arm Cops (Perfected Ansuul's Torment)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Boots of Mechanical Acuity (Mechanical Acuity)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Killer's Blade","Escalating Runeblades","Pragmatic Fatecarver","Relentless Focus","Quick Cloak","Incapacitating Strike","Stampede","Flames of Oblivion","Inspired Scholarship","Anti-Cavalry Caltrops","Magical Burst","The Languid Eye"
"Rockgrove","Basks-In-Snakes","https://www.esologs.com/reports/Bbxn89hWpZQkK7tV#fight=80&type=summary&source=11","@Mabzek","Offline","ardent-ass-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ardent","Ass","Herald","Mechanical Acuity","Perfected Ansuul's Torment","193947.9","3502.5","41.2","193947.9 DPS","","Helmet of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Slimecraw Epaulets (Slimecraw)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Tentacular Dread","Relentless Focus","Pragmatic Fatecarver","Whirling Blades","Escalating Runeblades","Incapacitating Strike","Stampede","Sundering Burst","Inspired Scholarship","Anti-Cavalry Caltrops","Flames of Oblivion","The Languid Eye"
"Rockgrove","Basks-In-Snakes","https://www.esologs.com/reports/Bbxn89hWpZQkK7tV#fight=80&type=summary&source=3","@SkyReaperTimo","Low C P M","ardent-ass-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ardent","Ass","Herald","Perfected Ansuul's Torment","Mechanical Acuity","225487.4","3541.3","79.7","225487.4 DPS","","Balorgh Mask (Balorgh)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Ansuul's Perfected Arm Cops (Perfected Ansuul's Torment)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Boots of Mechanical Acuity (Mechanical Acuity)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Shattering Knife","Pragmatic Fatecarver","Whirling Blades","Sundering Burst","Banner Bearer","Incapacitating Strike","Elemental Blockade","Anti-Cavalry Caltrops","Inspired Scholarship","Flames of Oblivion","Banner Bearer","Elemental Rage"
"Rockgrove","Basks-In-Snakes","https://www.esologs.com/reports/Bbxn89hWpZQkK7tV#fight=80&type=summary&source=3","@AirrrBalloon","Colasa","ardent-ass-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ardent","Ass","Herald","Perfected Ansuul's Torment","Mechanical Acuity","357698.1","4529.2","72.4","357698.1 DPS","","Nerien'eth Guise (Nerien'eth)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Ansuul's Perfected Arm Cops (Perfected Ansuul's Torment)","Bracers of Mechanical Acuity (Mechanical Acuity)","","Guards of Mechanical Acuity (Mechanical Acuity)","Boots of Mechanical Acuity (Mechanical Acuity)","","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Ansuul's Perfected Ring (Perfected Ansuul's Torment)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Relentless Focus","Killer's Blade","Tentacular Dread","Escalating Runeblades","Whirling Blades","Soul Harvest","Elemental Blockade","Magical Burst","Inspired Scholarship","Flames of Oblivion","Molten Whip","Elemental Rage"
"Rockgrove","Basks-In-Snakes","https://www.esologs.com/reports/Bbxn89hWpZQkK7tV#fight=80&type=summary&source=4","@JayyMi","Elsto Loves A Tentacle","ardent-ass-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ardent","Ass","Herald","Mechanical Acuity","Perfected Ansuul's Torment","432276.9","5012.2","28.2","432276.9 DPS","The Thief","Hat of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Balorgh Arm Cops (Balorgh)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Pragmatic Fatecarver","Quick Cloak","Cephaliarch's Flail","Camouflaged Hunter","Banner Bearer","Soul Harvest","Magical Burst","Flames of Oblivion","Inspired Scholarship","Elemental Blockade","Banner Bearer","Elemental Rage"
"Rockgrove","Basks-In-Snakes","https://www.esologs.com/reports/Bbxn89hWpZQkK7tV#fight=80&type=summary&source=10","@Secilina","Secilina","ardent-ass-herald-mechanical-acuity-perfected-ansuuls-torment","dps","Ardent","Ass","Herald","Perfected Ansuul's Torment","Mechanical Acuity","347194.4","1813.9","52.3","347194.4 DPS","","Balorgh Mask (Balorgh)","Ansuul's Perfected Jack (Perfected Ansuul's Torment)","Arm Cops of Mechanical Acuity (Mechanical Acuity)","Ansuul's Perfected Bracers (Perfected Ansuul's Torment)","","Ansuul's Perfected Guards (Perfected Ansuul's Torment)","Ansuul's Perfected Boots (Perfected Ansuul's Torment)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Killer's Blade","Shattering Knife","Exhausting Fatecarver","Quick Cloak","Venomous Claw","Incapacitating Strike","Flames of Oblivion","Leashing Burst","Elemental Blockade","Inspired Scholarship","Molten Whip","Elemental Rage"
