"Trial Name","Boss Name","ESO Logs Player Link","Player Handle","Character Name","Build Slug","Role","Subclass 1","Subclass 2","Subclass 3","Signature Set 1","Signature Set 2","DPS","HPS","CPM","Primary Metric","Mundus Stone","Gear: Head","Gear: Chest","Gear: Shoulders","Gear: Hands","Gear: Waist","Gear: Legs","Gear: Feet","Gear: Necklace","Gear: Ring1","Gear: Ring2","Gear: Main_Hand","Gear: Off_Hand","Gear: Backup_Main_Hand","Gear: Backup_Off_Hand","Bar 1 Ability 1","Bar 1 Ability 2","Bar 1 Ability 3","Bar 1 Ability 4","Bar 1 Ability 5","Bar 1 Ability 6","Bar 2 Ability 1","Bar 2 Ability 2","Bar 2 Ability 3","Bar 2 Ability 4","Bar 2 Ability 5","Bar 2 Ability 6"
"Sanctum Ophidia","Possessed Mantikora","https://www.esologs.com/reports/Z938ANYqCh1jvVDy#fight=3&type=summary&source=4","@Croa","Croa","ardent-ass-herald-aegis-caller-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Aegis Caller","76159.9","15128.4","60.2","76159.9 DPS","The Thief","Iceheart Guise (Iceheart)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Aegis Caller's Bracers (Aegis Caller)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Ring (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","Aegis Caller's Dagger (Aegis Caller)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Escalating Runeblades","Relentless Focus","Tentacular Dread","Barbed Trap","Killer's Blade","Soul Harvest","Stampede","Flames of Oblivion","Venomous Claw","Inspired Scholarship","Molten Whip","Standard of Might"
"Sanctum Ophidia","Possessed Mantikora","https://www.esologs.com/reports/Z938ANYqCh1jvVDy#fight=3&type=summary&source=9","@Plusscher","Rhonwen Lechmere","ass-dawn-grave-perfected-slivers-of-the-null-arca-tzogvins-warband","dps","Ass","Dawn","Grave","Perfected Slivers of the Null Arca","Tzogvin's Warband","54989.7","12927.5","27.3","54989.7 DPS","The Thief"," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Slimecraw Arm Cops (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Tzogvin's Ring (Tzogvin's Warband)","Tzogvin's Ring (Tzogvin's Warband)","Tzogvin's Dagger (Tzogvin's Warband)","Tzogvin's Dagger (Tzogvin's Warband)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Blighted Blastbones","Surprise Attack","Merciless Resolve","Radiant Oppression","Detonating Siphon","Soul Harvest","Power of the Light","Stampede","Skeletal Archer","Barbed Trap","Solar Barrage","Glacial Colossus"
"Sanctum Ophidia","Possessed Mantikora","https://www.esologs.com/reports/Z938ANYqCh1jvVDy#fight=3&type=summary&source=2","@Amenokai","Anode Cathode","ardent-herald-spear-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Deadly Strike","Perfected Slivers of the Null Arca","100298.9","8024.4","33.4","100298.9 DPS","The Thief","Deadly Helmet (Deadly Strike)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Slimecraw Epaulets (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Quick Cloak","Blazing Spear","Camouflaged Hunter","Pragmatic Fatecarver","Flawless Dawnbreaker","Stampede","Venomous Claw","Flames of Oblivion","Molten Whip","Inspired Scholarship","Standard of Might"
"Sanctum Ophidia","Possessed Mantikora","https://www.esologs.com/reports/Z938ANYqCh1jvVDy#fight=3&type=summary&source=6","@YrdatYkshy","Ma'puzhik","ardent-ass-herald-slivers-of-the-null-arca-tide-born-wildstalker","dps","Ardent","Ass","Herald","Tide-Born Wildstalker","Slivers of the Null Arca","79929.6","7195.2","32.9","79929.6 DPS","The Thief","Tide-Born Hat (Tide-Born Wildstalker)","Null Arca Jack (Slivers of the Null Arca)","Slimecraw Arm Cops (Slimecraw)","Null Arca Bracers (Slivers of the Null Arca)","","Null Arca Guards (Slivers of the Null Arca)","Null Arca Boots (Slivers of the Null Arca)","","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Pragmatic Fatecarver","Quick Cloak","Killer's Blade","Camouflaged Hunter","Incapacitating Strike","Inspired Scholarship","Venomous Claw","Flames of Oblivion","Stampede","Molten Whip","Standard of Might"
"Sanctum Ophidia","Possessed Mantikora","https://www.esologs.com/reports/Z938ANYqCh1jvVDy#fight=3&type=summary&source=12","@IamKippy","Z'enpai","ardent-ass-herald-perfected-sul-xans-torment-tide-born-wildstalker","dps","Ardent","Ass","Herald","Perfected Sul-Xan's Torment","Tide-Born Wildstalker","57404.2","4043.1","29.5","57404.2 DPS","The Thief","Valkyn Skoria Guise (Valkyn Skoria)","Jack of Sul-Xan's Torment (Sul-Xan's Torment)","Tide-Born Arm Cops (Tide-Born Wildstalker)","Bracers of Sul-Xan's Torment (Sul-Xan's Torment)","","Perfected Guards of Sul-Xan's Torment (Perfected Sul-Xan's Torment)","Perfected Boots of Sul-Xan's Torment (Perfected Sul-Xan's Torment)","","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Cephaliarch's Flail","Exhausting Fatecarver","Venomous Claw","Razor Caltrops","Deadly Cloak","Incapacitating Strike","Elemental Blockade","Flames of Oblivion","Inspired Scholarship","Molten Whip","Proximity Detonation","Standard of Might"
"Sanctum Ophidia","Possessed Mantikora","https://www.esologs.com/reports/Z938ANYqCh1jvVDy#fight=3&type=summary&source=8","@TyeceeR","Reece the Badman","ardent-ass-herald-berserking-warrior-perfected-slivers-of-the-null-arca","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Berserking Warrior","68818.8","16209.0","61.1","68818.8 DPS","The Thief"," (Huntsman's Warmask)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Black Gem Monstrosity's Arm Cops (Black Gem Monstrosity)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Ring of the Advancing Yokeda (Berserking Warrior)","Ring of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","Dagger of the Advancing Yokeda (Berserking Warrior)","The Maelstrom's Greatsword (Merciless Charge)"," ()","Barbed Trap","Killer's Blade","Escalating Runeblades","Tentacular Dread","Merciless Resolve","Soul Harvest","Inspired Scholarship","Stampede","Venomous Claw","Flames of Oblivion","Molten Whip","Standard of Might"
"Sanctum Ophidia","Possessed Mantikora","https://www.esologs.com/reports/Z938ANYqCh1jvVDy#fight=3&type=summary&source=3","@Axphykz","Ax The Terrible","ardent-ass-herald-sul-xans-torment-tide-born-wildstalker","dps","Ardent","Ass","Herald","Tide-Born Wildstalker","Sul-Xan's Torment","76951.4","10117.3","45.9","76951.4 DPS","The Thief","Nerien'eth Guise (Nerien'eth)","Tide-Born Jack (Tide-Born Wildstalker)","Arm Cops of Sul-Xan's Torment (Sul-Xan's Torment)","Tide-Born Bracers (Tide-Born Wildstalker)","","Tide-Born Guards (Tide-Born Wildstalker)","Tide-Born Boots (Tide-Born Wildstalker)","","Ring of Sul-Xan's Torment (Sul-Xan's Torment)","Ring of Sul-Xan's Torment (Sul-Xan's Torment)","Dagger of Sul-Xan's Torment (Sul-Xan's Torment)","Dagger of Sul-Xan's Torment (Sul-Xan's Torment)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Merciless Resolve","Escalating Runeblades","Exhausting Fatecarver","Whirling Blades","Mark Target","Incapacitating Strike","Flames of Oblivion","Unstable Wall of Elements","Inspired Scholarship","Proximity Detonation","Anti-Cavalry Caltrops","The Languid Eye"
"Sanctum Ophidia","Possessed Mantikora","https://www.esologs.com/reports/Z938ANYqCh1jvVDy#fight=3&type=summary&source=11","@MPL33","Voralyth","ardent-ass-herald-perfected-slivers-of-the-null-arca-tide-born-wildstalker","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Tide-Born Wildstalker","60387.4","2652.5","33.4","60387.4 DPS","The Thief","Slimecraw Guise (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Tide-Born Arm Cops (Tide-Born Wildstalker)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","The Maelstrom's Inferno Staff (Crushing Wall)"," ()","Cephaliarch's Flail","Pragmatic Fatecarver","Venomous Claw","Camouflaged Hunter","Quick Cloak","Soul Harvest","Inspired Scholarship","Elemental Blockade","Flames of Oblivion","Rune of Displacement","Molten Whip","Standard of Might"
"Sanctum Ophidia","Possessed Mantikora","https://www.esologs.com/reports/Z938ANYqCh1jvVDy#fight=3&type=summary&source=5","@Kraaii","Laela Varin","curative-resto-siphon-master-architect-powerful-assault","healer","Siphon","Resto","Curative","Master Architect","Powerful Assault","3017.3","92104.6","84.9","92104.6 HPS","","Ozezan the Inferno's Guise (Ozezan the Inferno)","Robe of the Trainee (Armor of the Trainee)","Ozezan the Inferno's Epaulets (Ozezan the Inferno)","Bracers of the Powerful Assault (Powerful Assault)","","Master Architect Breeches (Master Architect)","Master Architect Shoes (Master Architect)","","Ring of the Powerful Assault (Powerful Assault)","Ring of the Powerful Assault (Powerful Assault)","Restoration Staff of the Powerful Assault (Powerful Assault)"," ()","Master Architect Lightning Staff (Master Architect)"," ()","Illustrious Healing","Radiating Regeneration","Echoing Vigor","Siphoning Attacks","Combat Prayer","Soul Siphon","Energy Orb","Extended Ritual","Overflowing Altar","Radiant Aura","Elemental Blockade","Glyphic of the Tides"
"Sanctum Ophidia","Possessed Mantikora","https://www.esologs.com/reports/Z938ANYqCh1jvVDy#fight=3&type=summary&source=7","@Fol.der","Mommy's Pet","daedric-green-siphon-master-architect-spell-power-cure","healer","Daedric","Siphon","Green","Spell Power Cure","Master Architect","4680.8","91280.5","46.8","91280.5 HPS","","Nazaray Guise (Nazaray)","Spell Power Cure Robe (Spell Power Cure)","Nazaray Epaulets (Nazaray)","Spell Power Cure Gloves (Spell Power Cure)","","Spell Power Cure Breeches (Spell Power Cure)","Spell Power Cure Shoes (Spell Power Cure)","","Master Architect Ring (Master Architect)","Master Architect Ring (Master Architect)","The Master's Perfected Restoration Staff (Perfected Grand Rejuvenation)"," ()","Master Architect Ice Staff (Master Architect)"," ()","Illustrious Healing","Combat Prayer","Budding Seeds","Radiating Regeneration","Siphoning Attacks","Soul Siphon","Warding Burst","Elemental Blockade","Energy Orb","Echoing Vigor","Overflowing Altar","Summon Charged Atronach"
