"Trial Name","Boss Name","ESO Logs Player Link","Player Handle","Character Name","Build Slug","Role","Subclass 1","Subclass 2","Subclass 3","Signature Set 1","Signature Set 2","DPS","HPS","CPM","Primary Metric","Mundus Stone","Gear: Head","Gear: Chest","Gear: Shoulders","Gear: Hands","Gear: Waist","Gear: Legs","Gear: Feet","Gear: Necklace","Gear: Ring1","Gear: Ring2","Gear: Main_Hand","Gear: Off_Hand","Gear: Backup_Main_Hand","Gear: Backup_Off_Hand","Bar 1 Ability 1","Bar 1 Ability 2","Bar 1 Ability 3","Bar 1 Ability 4","Bar 1 Ability 5","Bar 1 Ability 6","Bar 2 Ability 1","Bar 2 Ability 2","Bar 2 Ability 3","Bar 2 Ability 4","Bar 2 Ability 5","Bar 2 Ability 6"
"Sunspire","Lokkestiiz","https://www.esologs.com/reports/PpLBCgJ8zKqDhFfb#fight=10&type=summary&source=100","@bleakirl","Warfaerin","ardent-herald-spear-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Deadly Strike","Perfected Slivers of the Null Arca","106497.3","2266.7","37.9","106497.3 DPS","","Deadly Helmet (Deadly Strike)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Slimecraw Epaulets (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Quick Cloak","Flames of Oblivion","Pragmatic Fatecarver","Camouflaged Hunter","Crescent Sweep","Stampede","Inspired Scholarship","Fulminating Rune","Venomous Claw","Molten Whip","Standard of Might"
"Sunspire","Lokkestiiz","https://www.esologs.com/reports/PpLBCgJ8zKqDhFfb#fight=10&type=summary&source=5","@Rymorc","Hold my beam","ardent-herald-spear-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Perfected Slivers of the Null Arca","Deadly Strike","82690.8","4366.1","29.1","82690.8 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Deadly Bracers (Deadly Strike)","","Deadly Guards (Deadly Strike)","Deadly Boots (Deadly Strike)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Perfected Null Arca Dagger (Perfected Slivers of the Null Arca)","Perfected Null Arca Dagger (Perfected Slivers of the Null Arca)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Pragmatic Fatecarver","Venomous Claw","Quick Cloak","Banner Bearer","Crescent Sweep","Molten Whip","Inspired Scholarship","Flames of Oblivion","Stampede","Banner Bearer","Standard of Might"
"Sunspire","Lokkestiiz","https://www.esologs.com/reports/PpLBCgJ8zKqDhFfb#fight=10&type=summary&source=12","@FzFrost","Syndra Melaina","ardent-herald-spear-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Perfected Slivers of the Null Arca","Deadly Strike","121054.4","6035.1","31.8","121054.4 DPS","","Slimecraw Guise (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Deadly Arm Cops (Deadly Strike)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Exhausting Fatecarver","Quick Cloak","Blazing Spear","Barbed Trap","Flawless Dawnbreaker","Stampede","Inspired Scholarship","Flames of Oblivion","Sundering Trample","Molten Whip","Standard of Might"
"Sunspire","Lokkestiiz","https://www.esologs.com/reports/PpLBCgJ8zKqDhFfb#fight=10&type=summary&source=6","@Sweetiieh","Kattieh","ardent-herald-spear-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Perfected Slivers of the Null Arca","Deadly Strike","102035.7","4865.3","24.9","102035.7 DPS","","Slimecraw Guise (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Deadly Arm Cops (Deadly Strike)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Blazing Spear","Cephaliarch's Flail","Pragmatic Fatecarver","Quick Cloak","Venomous Claw","The Languid Eye","Engulfing Flames","Molten Whip","Elemental Blockade","Inspired Scholarship","Flames of Oblivion","Standard of Might"
"Sunspire","Lokkestiiz","https://www.esologs.com/reports/PpLBCgJ8zKqDhFfb#fight=10&type=summary&source=3","@Gurkmon","Goldener Raver","ardent-herald-spear-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Perfected Slivers of the Null Arca","Deadly Strike","116203.5","7003.9","20.5","116203.5 DPS","","Slimecraw Guise (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Deadly Arm Cops (Deadly Strike)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Pragmatic Fatecarver","Camouflaged Hunter","Quick Cloak","Banner Bearer","Crescent Sweep","Stampede","Flames of Oblivion","Molten Whip","Inspired Scholarship","Banner Bearer","The Languid Eye"
"Sunspire","Lokkestiiz","https://www.esologs.com/reports/PpLBCgJ8zKqDhFfb#fight=10&type=summary&source=35","@Comasaurus","Onlybeam","ardent-herald-spear-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Perfected Slivers of the Null Arca","Deadly Strike","95041.5","4669.3","25.2","95041.5 DPS","","Slimecraw Guise (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Deadly Boots (Deadly Strike)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","Stampede","Flames of Oblivion","Inspired Scholarship","Sundering Trample","Banner Bearer","Standard of Might","Cephaliarch's Flail","Fulminating Rune","Pragmatic Fatecarver","Quick Cloak","Banner Bearer","Crescent Sweep"
"Sunspire","Lokkestiiz","https://www.esologs.com/reports/PpLBCgJ8zKqDhFfb#fight=10&type=summary&source=13","@xAudina","Audinaa","ardent-herald-spear-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Perfected Slivers of the Null Arca","Deadly Strike","92398.7","5529.6","27.8","92398.7 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Deadly Arm Cops (Deadly Strike)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Barbed Trap","Flames of Oblivion","Pragmatic Fatecarver","Cephaliarch's Flail","Quick Cloak","Crescent Sweep","Magical Trample","Venomous Claw","Stampede","Inspired Scholarship","Molten Whip","Standard of Might"
"Sunspire","Lokkestiiz","https://www.esologs.com/reports/PpLBCgJ8zKqDhFfb#fight=10&type=summary&source=37","@Adaventi","Viridis Pugnator","ardent-herald-spear-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Perfected Slivers of the Null Arca","Deadly Strike","100967.5","4953.9","37.2","100967.5 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Deadly Arm Cops (Deadly Strike)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Camouflaged Hunter","Cephaliarch's Flail","Pragmatic Fatecarver","Quick Cloak","Fulminating Rune","Everlasting Sweep","Inspired Scholarship","Engulfing Flames","Flames of Oblivion","Stampede","Molten Whip","Standard of Might"
"Sunspire","Lokkestiiz","https://www.esologs.com/reports/PpLBCgJ8zKqDhFfb#fight=10&type=summary&source=7","@Comasaurus","Onlybeam","ardent-herald-spear-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Perfected Slivers of the Null Arca","Deadly Strike","98695.6","3551.5","31.3","98695.6 DPS","","Slimecraw Guise (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Deadly Boots (Deadly Strike)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","Stampede","Flames of Oblivion","Inspired Scholarship","Molten Whip","Shocking Banner (Cavalier's Charge / Courage)","Standard of Might","Cephaliarch's Flail","Fulminating Rune","Pragmatic Fatecarver","Quick Cloak","Shocking Banner (Cavalier's Charge / Courage)","Crescent Sweep"
"Sunspire","Lokkestiiz","https://www.esologs.com/reports/PpLBCgJ8zKqDhFfb#fight=10&type=summary&source=9","@Adaventi","Viridis Pugnator","ardent-herald-spear-deadly-strike-perfected-slivers-of-the-null-arca","dps","Ardent","Spear","Herald","Perfected Slivers of the Null Arca","Deadly Strike","108274.6","4363.7","51.2","108274.6 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Deadly Arm Cops (Deadly Strike)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Deadly Ring (Deadly Strike)","Deadly Ring (Deadly Strike)","Deadly Dagger (Deadly Strike)","Deadly Dagger (Deadly Strike)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Camouflaged Hunter","Cephaliarch's Flail","Pragmatic Fatecarver","Quick Cloak","Fulminating Rune","Everlasting Sweep","Inspired Scholarship","Engulfing Flames","Flames of Oblivion","Stampede","Molten Whip","Standard of Might"
