"Trial Name","Boss Name","ESO Logs Player Link","Player Handle","Character Name","Build Slug","Role","Subclass 1","Subclass 2","Subclass 3","Signature Set 1","Signature Set 2","DPS","HPS","CPM","Primary Metric","Mundus Stone","Gear: Head","Gear: Chest","Gear: Shoulders","Gear: Hands","Gear: Waist","Gear: Legs","Gear: Feet","Gear: Necklace","Gear: Ring1","Gear: Ring2","Gear: Main_Hand","Gear: Off_Hand","Gear: Backup_Main_Hand","Gear: Backup_Off_Hand","Bar 1 Ability 1","Bar 1 Ability 2","Bar 1 Ability 3","Bar 1 Ability 4","Bar 1 Ability 5","Bar 1 Ability 6","Bar 2 Ability 1","Bar 2 Ability 2","Bar 2 Ability 3","Bar 2 Ability 4","Bar 2 Ability 5","Bar 2 Ability 6"
"The Halls of Fabrication","The Hunter Killers","https://www.esologs.com/reports/2PrNbkJKcw3VfjCn#fight=63&type=summary&source=76","@XMothX","Mothren The Languid","ardent-ass-herald-perfected-slivers-of-the-null-arca-tide-born-wildstalker","dps","Ardent","Ass","Herald","Tide-Born Wildstalker","Perfected Slivers of the Null Arca","261592.7","21216.8","41.6","261592.7 DPS","","Tide-Born Helmet (Tide-Born Wildstalker)","Tide-Born Jack (Tide-Born Wildstalker)","Slimecraw Epaulets (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Tide-Born Guards (Tide-Born Wildstalker)","Tide-Born Boots (Tide-Born Wildstalker)","","Perfected Null Arca Ring (Perfected Slivers of the Null Arca)","Perfected Null Arca Ring (Perfected Slivers of the Null Arca)","Perfected Null Arca Dagger (Perfected Slivers of the Null Arca)","Perfected Null Arca Dagger (Perfected Slivers of the Null Arca)","The Maelstrom's Greatsword (Merciless Charge)"," ()","Pragmatic Fatecarver","Quick Cloak","Camouflaged Hunter","Cephaliarch's Flail","Killer's Blade","Incapacitating Strike","Stampede","Venomous Claw","Flames of Oblivion","Inspired Scholarship","Molten Whip","Standard of Might"
"The Halls of Fabrication","The Hunter Killers","https://www.esologs.com/reports/2PrNbkJKcw3VfjCn#fight=63&type=summary&source=1","@lubasik","Filia Rosehollow","ardent-ass-herald-perfected-slivers-of-the-null-arca-tide-born-wildstalker","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Tide-Born Wildstalker","272594.0","9632.1","31.8","272594.0 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Tide-Born Arm Cops (Tide-Born Wildstalker)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","The Maelstrom's Inferno Staff (Crushing Wall)"," ()","Cephaliarch's Flail","Pragmatic Fatecarver","Quick Cloak","Venomous Claw","Banner Bearer","Soul Harvest","Blockade of Fire","Flames of Oblivion","Inspired Scholarship","Molten Whip","Banner Bearer","Standard of Might"
"The Halls of Fabrication","The Hunter Killers","https://www.esologs.com/reports/2PrNbkJKcw3VfjCn#fight=63&type=summary&source=9","@Anraijin","Nattvald","ardent-ass-herald-perfected-slivers-of-the-null-arca-tide-born-wildstalker","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Tide-Born Wildstalker","287103.7","4911.0","36.9","287103.7 DPS","","Slimecraw Guise (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Tide-Born Arm Cops (Tide-Born Wildstalker)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Camouflaged Hunter","Pragmatic Fatecarver","Killer's Blade","Quick Cloak","Soul Harvest","Flame Lash","Stampede","Flames of Oblivion","Venomous Claw","Inspired Scholarship","Standard of Might"
"The Halls of Fabrication","The Hunter Killers","https://www.esologs.com/reports/2PrNbkJKcw3VfjCn#fight=63&type=summary&source=3","@RSKYI","Alderpash","ardent-ass-herald-perfected-slivers-of-the-null-arca-tide-born-wildstalker","dps","Ardent","Ass","Herald","Tide-Born Wildstalker","Perfected Slivers of the Null Arca","152690.0","0.0","53.3","152690.0 DPS","","Tide-Born Hat (Tide-Born Wildstalker)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Slimecraw Arm Cops (Slimecraw)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Tentacular Dread","Killer's Blade","Escalating Runeblades","Quick Cloak","Relentless Focus","Soul Harvest","Inspired Scholarship","Stampede","Venomous Claw","Flames of Oblivion","Molten Whip","Standard of Might"
"The Halls of Fabrication","The Hunter Killers","https://www.esologs.com/reports/2PrNbkJKcw3VfjCn#fight=63&type=summary&source=5","@LEGOMrPanda","Lyra Darkfire","ardent-ass-herald-perfected-slivers-of-the-null-arca-tide-born-wildstalker","dps","Ardent","Ass","Herald","Perfected Slivers of the Null Arca","Tide-Born Wildstalker","306199.5","17851.8","43.1","306199.5 DPS","","Slimecraw Mask (Slimecraw)","Perfected Null Arca Jack (Perfected Slivers of the Null Arca)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Tide-Born Bracers (Tide-Born Wildstalker)","","Tide-Born Guards (Tide-Born Wildstalker)","Tide-Born Boots (Tide-Born Wildstalker)","","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Ring (Tide-Born Wildstalker)","Perfected Null Arca Dagger (Perfected Slivers of the Null Arca)","Perfected Null Arca Dagger (Perfected Slivers of the Null Arca)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Cephaliarch's Flail","Quick Cloak","Pragmatic Fatecarver","Killer's Blade","Barbed Trap","Soul Harvest","Engulfing Flames","Elemental Blockade","Flames of Oblivion","Molten Whip","Inspired Scholarship","Standard of Might"
"The Halls of Fabrication","The Hunter Killers","https://www.esologs.com/reports/2PrNbkJKcw3VfjCn#fight=63&type=summary&source=9","@MadMod10","Zolus Graylock","ardent-ass-herald-perfected-slivers-of-the-null-arca-tide-born-wildstalker","dps","Ardent","Ass","Herald","Tide-Born Wildstalker","Perfected Slivers of the Null Arca","310008.6","4161.0","24.7","310008.6 DPS","","Slimecraw Guise (Slimecraw)","Tide-Born Jack (Tide-Born Wildstalker)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Quick Cloak","Flames of Oblivion","Cephaliarch's Flail","Pragmatic Fatecarver","Venomous Claw","Soul Harvest","Elemental Blockade","Fulminating Rune","Inspired Scholarship","Scalding Rune","Molten Whip","Standard of Might"
"The Halls of Fabrication","The Hunter Killers","https://www.esologs.com/reports/2PrNbkJKcw3VfjCn#fight=63&type=summary&source=1","@MadMod10","Zolus Graylock","ardent-ass-herald-perfected-slivers-of-the-null-arca-tide-born-wildstalker","dps","Ardent","Ass","Herald","Tide-Born Wildstalker","Perfected Slivers of the Null Arca","310248.3","4161.2","24.7","310248.3 DPS","The Thief","Slimecraw Guise (Slimecraw)","Tide-Born Jack (Tide-Born Wildstalker)","Perfected Null Arca Arm Cops (Perfected Slivers of the Null Arca)","Perfected Null Arca Bracers (Perfected Slivers of the Null Arca)","","Perfected Null Arca Guards (Perfected Slivers of the Null Arca)","Perfected Null Arca Boots (Perfected Slivers of the Null Arca)","","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Ring (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","Tide-Born Dagger (Tide-Born Wildstalker)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Quick Cloak","Flames of Oblivion","Cephaliarch's Flail","Pragmatic Fatecarver","Venomous Claw","Soul Harvest","Blockade of Fire","Fulminating Rune","Inspired Scholarship","Scalding Rune","Molten Whip","Standard of Might"
"The Halls of Fabrication","The Hunter Killers","https://www.esologs.com/reports/tfLbBNXq3KDwT6yQ#fight=29&type=summary&source=11","@Grozl0k","Ẅūqpø'Hbęþ","ardent-ass-herald-mechanical-acuity-perfected-yandirs-might","dps","Ardent","Ass","Herald","Mechanical Acuity","Perfected Yandir's Might","419912.6","17866.1","61.6","419912.6 DPS","","Nerien'eth Guise (Nerien'eth)","Yandir's Perfected Jack (Perfected Yandir's Might)","Nerien'eth Arm Cops (Nerien'eth)","Yandir's Perfected Bracers (Perfected Yandir's Might)","","Guards of Mechanical Acuity (Mechanical Acuity)","Yandir's Perfected Boots (Perfected Yandir's Might)","","Yandir's Perfected Ring (Perfected Yandir's Might)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Exhausting Fatecarver","Camouflaged Hunter","Quick Cloak","Whirling Blades","Incapacitating Strike","Stampede","Recuperative Treatise","Magical Burst","Proximity Detonation","Flames of Oblivion","Standard of Might"
"The Halls of Fabrication","The Hunter Killers","https://www.esologs.com/reports/tfLbBNXq3KDwT6yQ#fight=29&type=summary&source=12","@Nasenheim","Ragazam","ardent-ass-herald-mechanical-acuity-perfected-yandirs-might","dps","Ardent","Ass","Herald","Mechanical Acuity","Perfected Yandir's Might","263263.4","5596.6","39.8","263263.4 DPS","","Balorgh Mask (Balorgh)","Jack of Mechanical Acuity (Mechanical Acuity)","Balorgh Arm Cops (Balorgh)","Yandir's Perfected Bracers (Perfected Yandir's Might)","","Yandir's Perfected Guards (Perfected Yandir's Might)","Yandir's Perfected Boots (Perfected Yandir's Might)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Inferno Staff (Perfected Crushing Wall)"," ()","Cephaliarch's Flail","Pragmatic Fatecarver","Quick Cloak","Whirling Blades","Camouflaged Hunter","Soul Harvest","Elemental Blockade","Engulfing Flames","Flames of Oblivion","Recuperative Treatise","Sundering Burst","Standard of Might"
"The Halls of Fabrication","The Hunter Killers","https://www.esologs.com/reports/tfLbBNXq3KDwT6yQ#fight=29&type=summary&source=7","@Aestmanindel","Faderi Telvanni","ardent-ass-herald-mechanical-acuity-perfected-yandirs-might","dps","Ardent","Ass","Herald","Mechanical Acuity","Perfected Yandir's Might","430411.4","5165.3","17.1","430411.4 DPS","The Thief","Balorgh Mask (Balorgh)","Yandir's Perfected Jack (Perfected Yandir's Might)","Balorgh Arm Cops (Balorgh)","Yandir's Perfected Bracers (Perfected Yandir's Might)","","Yandir's Perfected Guards (Perfected Yandir's Might)","Yandir's Perfected Boots (Perfected Yandir's Might)","","Ring of Mechanical Acuity (Mechanical Acuity)","Ring of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","Sword of Mechanical Acuity (Mechanical Acuity)","The Maelstrom's Perfected Greatsword (Perfected Merciless Charge)"," ()","Cephaliarch's Flail","Pragmatic Fatecarver","Engulfing Flames","Quick Cloak","Camouflaged Hunter","Soul Harvest","Stampede","Magical Burst","Inspired Scholarship","Flames of Oblivion","Molten Whip","Standard of Might"
